Participante ,Dialogo
Presentador ,"Muy buenos días, tengan todas y todos. La Secretaría de Educación Pública y la Asociación Nacional de Universidades e Instituciones de Educación Superior ANUIES, les da la más cordial bienvenida a la décima sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior CONACES. Se solicita a todas y todos los asistentes favor de ocupar sus lugares y apagar sus teléfonos o ponerlos en modo silencio. Antes de iniciar, escucharemos un importante mensaje de protección civil. "
Representante de protección civil ,"Antes de iniciar el evento, escuchemos con atención un aviso de Protección Civil. Estamos ubicados en planta baja. Les pedimos que identifiquen la simbología de rutas de protección civil, como son: ruta de evacuación y zona de menor riesgo. De su lado derecho, contamos con tres puertas, mismas que pueden ser utilizadas para evacuar en caso de alguna emergencia. Las dos primeras los dirigen hacia el lobby del edificio con salida a la calle Miguel Laurent, mientras que la tercera hacia un punto de reunión dentro de las instalaciones. De su lado izquierdo, también hay una salida que los dirige a la calle de Tenayuca. Cuando se encuentren en el primer o segundo piso, nuestro protocolo de seguridad ante un sismo es realizar el repliegue. Al escuchar la alerta sísmica, debemos mantener la calma, ubicarnos en los puntos señalados como puntos de menor riesgo, que son los letreros verdes colocados en columnas y muro perimetral, sin tratar de salir por escaleras o elevadores. Al terminar el sismo y después de que el personal capacitado revise que la escalera no haya sufrido daños, entonces procederemos a la evacuación. Por su atención, gracias."
Presentador ,"Gracias. Cedemos el uso de la palabra al subsecretario de Educación Superior, el doctor Luciano Concheiro Bórquez para conducir la sesión."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Muy buenos días tengan todas y todos ustedes. Iniciamos esta sesión con el primer punto de la orden del día, que es la verificación del cuórum legal y en su caso la instalación de la sesión."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Les informo que de conformidad con lo que establece el artículo 52 de la Ley General de Educación Superior, respecto al número de integrantes de este consejo, estamos reunidos 93 integrantes, 20 presencial y 73 virtuales. En función de ello, declaro que existe cuórum legal para la instalación de la décima sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior que se proyecte el acuerdo correspondiente si son tan amables."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Bueno, se proyectó instantáneamente."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","alcanzaron a leer. Lectura dinámica. Los integrantes del Consejo Nacional para la Coordinación de la Educación Superior CONACES aprueban la instalación de su décima sesión ordinaria,"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Como hemos hecho en estas sesiones donde hacemos una conbinación de presencial con virtual si son tan amables, si alguien estuviera por la negativa. Hay alguien por la negativa, ¿no? Alguna abstención, bien, fue aprobado por unanimidad. En este punto nos gustaría hacer mención de que ante el establecimiento del SEAES y de que ya están previstas las instancias operativas del mismo ya no contamos con invitados especiales quienes podrán en todo caso conforme al marco normativo del SEAES sumarse a los colegiados específicos en la materia. Habíamos estado operando ya saben con invitados especiales en tanto no se ponían en función."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Con esa única presición en ese punto y en relación con el acuerdo propuesto si les parece bien en esta sesión que fue convocada híbrida, votaremos ya como lo hemos hecho en otros momentos, los que estén por la negativa en este sentido, ya no invitados. Abstención. Bien, entonces queda también aprobado por unanimidad y pasamos al punto dos, lectura y en su caso aprobación de la orden del día. Como segundo punto les comento que la propuesta del orden del día para esta décima sesión ordinaria del CONACES les fue remitida con la convocatoria correspondiente. Sin embargo, queremos someter a su consideración dos pequeños ajustes a solicitud de la Secretaría de Economía y de la Dirección General eh para la acreditación que consiste en modificar los horarios de su participación por temas de sus agendas de modo que primero intervenga la Subsecretaría de Educación Media Superior, luego la Dirección General de Profesiones y por último la Dirección General de Acreditación, Incorporación y Revalidación."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Hay aquí alguna, digamos oposición a ello, si no la hay eh si no tienen inconveniente y toda vez que estos cambios no alteran los temas sino solo el orden de presentación de los mismos, podríamos votar la orden del día como se envió en la carpeta y hacer esta precisión en las intervenciones en el acta de la sesión. Si la"
