Participante,Dialogo
Carmen Eneida Rodríguez,"Muy buenos días a todas y a todos. Nos da mucho gusto que estemos presentes todas y todos. Tenemos eh la presencia de 65 integrantes de esta de este Consejo Nacional para la coordinación de la educación superior. 65 integrantes que se encuentran en el ciberespacio y nos da muchísimo gusto saludarlos desde la ciudad de México y tenemos 18 titulares presentes de manera presencial. De manera tal que de conformidad con lo establecido en el artículo 52 de la Ley General de Educación Superior respecto al número de integrantes de integrantes de este consejo, existe el quórum legal para la instalación de la 14 sesión ordinaria del Consejo Nacional para la coordinación de la educación superior."
Carmen Eneida Rodríguez,"el acuerdo S.O.CONACES de la catorceava sesión, punto uno, los integrantes del Consejo Nacional para la Coordinación de la Educación Superior CONACES aprueban la instalación de su Decimocuarta Sesión Ordinaria."
Carmen Eneida Rodríguez,"ya que esta sesión fue convocada de manera híbrida, votaremos como lo hemos hecho en estos casos. Es decir, preguntaré en primera instancia por los votos en sentido negativo. Por los de manera tal que los que se encuentren por la negativa del acuerdo presentado en pantalla, por favor, eh sírvanse manifestarlo levantando la mano. Ninguno, no tenemos, gracias. los que estén, los que se abstengan.Bien, aprobado entonces el acuerdo por unanimidad que se registre, por favor."
Carmen Eneida Rodríguez,"Como siguiente punto del orden del día, tenemos la lectura y en su caso aprobación de este del orden del día. Tenemos pues una solicitud de cambio porque tenemos la fortuna de que se encuentre con nosotros eh la próxima secretaria de Innovación, Ciencia y Tecnología, Humanidades y Tecnología de nuestro país, la doctora Rosaura Ruiz. Y al estar con nosotros lo que queremos es que nos presente, ¿sí?, este vínculo que vamos a tener. Entonces les estoy pidiendo respetuosamente que cambiemos el punto cuarto, el punto sexto al punto cuarto, respecto al orden del día que fue enviado, ¿sí?, a sus respectivos correos electrónicos."
Carmen Eneida Rodríguez,"De manera tal que este sería nuestro orden del día, es decir, posterior a la lectura y aprobación de nuestro orden del día, tendremos la el mensaje de bienvenida por parte del maestro Mario Delgado Carrillo, nuestro secretario de Educación Pública y coordinador de este organismo colegiado, que de hecho él ya se encuentra conectado. Y bueno, si en este momento eh no nos hubiéramos esperar unos minutos mientras tomara una llamada, vamos a continuar con el orden del día y en el momento en el que él lo exprese, ¿sí?, les pediré su atentamente que podamos parar un poquito la sesión para poder escuchar de viva voz eh sus palabras."
Carmen Eneida Rodríguez,"De hecho es una de las pocas ocasiones en las que se encuentra el titular de la Secretaría de Educación Pública con nosotros, así que nos da muchísimo gusto que esto suceda. Bueno, posterior a ello tendremos la presentación de los temas en conjunto de las áreas de Humanidades, Ciencias, Tecnologías e Innovación con Educación Superior. Y para ello pues tenemos a la titular de esta nueva secretaría y con quien tendremos una coordinación permanente y muy cercana, ¿sí?, durante todo este sexenio que así ha sido instruido por nuestra presidenta, la doctora Claudia Sheinbaum y pues nos da muchísimo gusto que en esta coordinación y esta cercanía, Educación Superior, ¿sí?, este al ladito de ciencia y tecnología porque es algo que es fundamental para el beneficio de nuestras instituciones."
Carmen Eneida Rodríguez,"Posterior a ello tendremos, ¿sí?, bueno, para permitirle precisamente que la doctora Ruiz pueda salir, tendremos posterior la aprobación del acta de la sesión anterior. Después de ello tendremos el informe de seguimiento de todos los acuerdos de este organismo colegiado en voz del doctor Luis Armando González Placencia, así como posterior a ello en el punto número siete, la presentación del resultado del proceso de la renovación de integrantes de CONACES. Ustedes saben bien que este proceso se realiza año con año para darle vida para integrar nuevas miradas que nos enriquecen precisamente este trabajo colegiado que tenemos en educación superior, tanto por académicos como estudiantes, de acuerdo con el artículo 52 de la Ley General de Educación Superior."
Carmen Eneida Rodríguez,"Posteriormente, tendremos la presentación del informe general de cumplimiento del programa de trabajo 2023-2024 del CONACES, a cargo de nuestro secretario técnico, sí, del conjunto de este organismo colegiado, el doctor Luis Armando González Placencia, a quien agradecemos, por supuesto, su hospitalidad y el poder sentirnos como en casa en estos espacios de la ANUIES."
Carmen Eneida Rodríguez,"posteriormente, la maestra María José Ruiz Aussi presentará el sistema de evaluación y acreditación de la educación superior con los puntos ya definidos, porque el próximo año es necesario que comencemos con la parte de las evaluaciones entre pares y todos los trabajos que se han planteado en este sistema. tendremos también el nombramiento del coordinador del espacio común de educación superior, sí, del doctor Arturo Chávez, quien está con nosotros y en ese momento le cederemos la palabra."
Carmen Eneida Rodríguez,"Esta es nuestra última sesión del año de este Consejo Nacional, así que esperamos concluir en tiempo y forma y pasar a la siguiente, por favor. No sé si podamos proyectar el acuerdo, porque el acuerdo número dos de esta sesión será que el CONACES apruebe todos y cada uno de los puntos del orden del día de su decimocuarta sesión ordinaria ¿Hay alguien en línea en contra? Muy bien, aprobado entonces por mayoría. Que se registre el acuerdo, por favor."
