Participante,Dialogo
Aviso,"Hubo un problema al inicio de la sesión, pues no hubo audio hasta el minuto 7:35."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Si no hay ningún comentario, entonces ponemos a consideración la propuesta del acuerdo, si me ayudan a proyectar el acuerdo. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Acuerdo S.O.CONACES.16ª.2. El CONACES aprueba en todos y cada uno de sus puntos el orden del día de su decimosexta sesión ordinaria.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Y les pregunto nuevamente si hubiera algún voto en contra. Ninguno. 
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",¿Alguna abstención? Ninguna. 
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Entonces se aprueba este acuerdo por unanimidad.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Siguiendo con el desarrollo del orden del día, les pido eh que abordemos el punto número tres, para lo cual y de no haber inconveniente me gustaría poder ceder el uso de la voz al secretario general ejecutivo de la ANUIES, al doctor Luis Armando González Placencia, como parte de este secretariado técnico conjunto y te pediría doctor si nos ayudas con el siguiente punto."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Muy buenos días a todas, a todos. Bienvenidas, bienvenidos a la ANUIES. Bienvenido, señor secretario."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Pues con un saludo a todas y todos ustedes vamos a desarrollar el punto número tres relativo a la presentación y en su caso aprobación del acta de la sesión anterior. Como saben el acta pues les fue remitida con anterioridad de manera tal que eh les preguntaría si existe algún comentario en relación con el acta.
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Bernardo González Aréchiga, por favor. Muchas gracias. "
"Bernardo González Aréchiga, secretario general de FIMPES","Sí, yo sí tengo un comentario con relación a algo que se retoma en el acuerdo 15ª.5. Ahí se presentó una serie más que comentarios de propuestas al final, ese punto habla de comentarios y tiene que ver con el hecho de que hay algunas normas secundarias eh que la Ley General de Educación Superior fijaba inclusive plazos perentorios para su cumplimiento y esas normas secundarias no han sido emitidas. "
"Bernardo González Aréchiga, secretario general de FIMPES","Entonces el pedido era que se incorporara como parte del programa de trabajo 25 26 y esto no lo veo registrado en el acta. El resto me parece muy claro y estaría totalmente de acuerdo, pero ese punto que sí me parece importante me permitiría recomendar que se retome y se agregue."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Gracias, Bernardo. Perdón, ¿eso no está en el acta o en el programa? porque eh…"
"Bernardo González Aréchiga, secretario general de FIMPES","Sí, a ver, el acta hace referencia al programa de trabajo y el programa de trabajo no incorpora ese punto. Okay."
