Participante,Dialogo,,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Estamos muy contentos y desde la Secretaría de Educación Pública les damos la más cordial bienvenida a la segunda sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior. Ya le hemos empezado al acrónimo, ¿no? Ahí, pero lo vamos dejando todavía completo para aprendérnoslo bien este Consejo Nacional para la Coordinación de la Educación Superior",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Se solicita a todas y todos los asistentes que, por favor, terminen de ocupar sus lugares si es que aún no lo han hecho. Les vuelvo a repetir que apaguen sus teléfonos o los pongan en modo silencio y antes de seguir adelante, quisiera plantearles a ustedes",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"es fundamental el que recordemos eh el gran esfuerzo de la Ley General de Educación Superior, la condición que nos hemos propuesto para integrar un sistema nacional de para la educación superior.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"hoy eh en este segunda en esta segunda sesión ordinaria me comunican que hasta las 10:14 que fue el corte, teníamos ya quorum con 72 integrantes de los cuales eh tenemos 60 eh por la vía remota y 12 de los que componen este digamos este gran eh coordinación de este gran consejo ya están presentes.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Atendiendo eh todas las recomendaciones de las autoridades sanitarias, esta sesión de trabajo, como ya mencionaba, se realizó eh se va a verificar en términos de presenciales y a distancia.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Ahí vamos a utilizar y les suplico que nos entiendan eh todo este mecanismo para recoger eh las votaciones, va a ser pedirlo por la negativa y por las abstenciones más que por eh no la afirmativa.
Sí, porque es mucho más difícil contar todo eh las diferencias. Si alguien ve que no está siendo reconocido su voto, por favor, sírvase expresarlo porque es muy importante recoger la opinión.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Quisiera empezar por el punto básico de la lectura y en su caso la aprobación del orden del día. Entonces, aquí eh les quisiera decir que hay un solo cambio dentro de la que les enviamos en la carpeta y este cambio tiene que ver con el punto seis, porque hoy tenemos la suerte de que nos acompaña a la distancia la directora general del Conacyt, Elena Álvarez Buylla Roces y con Elena eh nos pidió para no tener que estar en toda la sesión, poder participar en este punto, en el punto seis, sí, haciendo una intervención sobre cómo vamos a conjuntar el desarrollo científico, tecnológico, de la innovación en términos de las instituciones de educación superior.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Entonces, bajo esa perspectiva es el único cambio, no sé si haya alguna sugerencia mayor, hay tres puntos eh en términos eh digamos eh ya de las cuestiones más generales y que solamente son para el conocimiento de la asamblea en asuntos generales, si hubiera algún otro punto, si no lo si no lo hay, entonces procedería de la forma en la cual eh les indiqué por la negativa. queda aprobado por unanimidad este orden del día.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"en este punto eh tenemos unas palabras a nombre de la maestra Delfina, porque ustedes recuerdan aquí ante eh si no participa la maestra Delfina es el subsecretario de Educación Superior quien eh preside las las reuniones.",,,,,,,,,,,,
Francisco Luciano Concheiro Borquez,"Entonces en este sentido estoy ya fungiendo en ese en esa perspectiva y dejando respirar a a Rafa, este le pedimos si es tan amable las palabras que eh nos dejó la maestra para esta reunión. Perdón, muy buenos días a todas, a todos, ofrezco unas sentidas disculpas por la demora, pero bueno, tuve un contratiempo. No les platico qué pasó, pero bueno, este nuevamente gracias por por la espera y la verdad es un honor, un privilegio estar en esta segunda sesión del Consejo Nacional para la Coordinación de la Educación Superior en representación de la señora secretaria de Educación Pública, la maestra Delfina Gómez Álvarez.",,,,,,,,,,,,
Rafael Flores Mendoza,"hoy, pero por cuestiones de agenda le fue imposible estar, aunque aunque por cierto, es posible que se incorpore al final de los trabajos. Va a hacer un esfuerzo por por llegar",,,,,,,,,,,,
Rafael Flores Mendoza,"A poco más de medio año de promulgada la Ley General de Educación Superior, se cuenta con resultados muy importantes de los trabajos colegiados y ampliamente participativos para la puesta en operación de las disposiciones establecidas en los diversos ámbitos para asegurar el derecho a la educación superior. De igual modo, los avances de las acciones que se informarán en esta sesión muestran el trabajo realizado desde la constitución del Conaces hace apenas tres meses.",,,,,,,,,,,,
Rafael Flores Mendoza,"En esta sesión conoceremos los avances logrados para la realización de las acciones estratégicas encaminadas a la integración de un renovado sistema nacional de educación superior como parte del sistema educativo nacional que permita la sinergia, el intercambio y la colaboración entre subsistemas, instituciones y los actores a lo largo y ancho del territorio nacional",,,,,,,,,,,,
Rafael Flores Mendoza,"Sin duda, todos los puntos de la agenda son de enorme relevancia, tratan de aspectos nodales que no solo dan cumplimiento a la ley, sino que constituyen en sí mismos palancas estratégicas para la transformación de la educación superior. Permítanme referirme a algunos de los temas que serán tratados en esta misma reunión. En primer lugar, quisiera resaltar los avances en la coordinación del Sistema Nacional de Educación Superior. En esta sesión se acordará el procedimiento para la integración del Consejo Nacional de los representantes de consejos estudiantiles y de asociaciones de personal académico en cumplimiento de uno de los acuerdos tomados por este consejo en su sesión de instalación.",,,,,,,,,,,,
Rafael Flores Mendoza,"Con lo cual, este órgano colegiado quedará integrado en su totalidad por actores relevantes del sistema dando cumplimiento a la norma. Del mismo modo, se tratará el punto relativo a la reinstauración de las comisiones estatales para la planeación de la educación superior, Coepes o sus instancias equivalentes para armonizarlas con la Ley General de Educación Superior. Serán un espacio innovador, sin duda, el espacio de elaboración y encuentro de las Coepes, el cual fortalecerá la visión federalista y territorial para la instrumentación de políticas de educación superior.",,,,,,,,,,,,
Rafael Flores Mendoza,"A lo anterior, se agrega la instalación de los consejos regionales de apoyo a este Consejo Nacional, los cuales permitirán una articulación de los estados en el ámbito regional para la realización del programa de trabajo del Conaces. Lo anterior mencionado son pasos concretos para el estable para el establecimiento de una gobernanza participativa y descentralizada del Sistema Nacional de Educación Superior. Del interés y voluntad de todos los actores involucrados dependerá que estos espacios no queden en mecanismos formales de planeación y coordinación, sino que detonen cambios en la forma de operar la educación superior",,,,,,,,,,,,
Rafael Flores Mendoza,"A su vez, la visión territorial será clave para el desarrollo de las estrategias y acciones que están de señaladas no solo en nuestro marco normativo, sino también en el programa sectorial de educación y en los planes de desarrollo de las instituciones educativas de los subsistemas universitarios, tecnológicos y de escuelas normales e instituciones de formación docente. Otro punto que quiero destacar es el arduo trabajo que en estos meses se ha realizado para la conformación del sistema de evaluación y acreditación de la educación superior.",,,,,,,,,,,,
