Participantes,Dialogo
Francisco Luciano Concheiro Borquez,"Habiendo dicho esto, iniciamos con el primer punto del orden del día. Quiero decirles que tenemos 75 virtuales, 26 presenciales, con una cuenta general de 101, que nos da el cuórum; y entonces les informo que, de conformidad con los integrantes mencionados en el artículo 52 de la Ley General de Educación Superior que conforman el consejo, se encuentran, repito para el acta, los datos presentes: 26 y 101 nos acompañan, digo perdón, 75 nos acompañan en forma virtual a través de la plataforma electrónica habilitada para este propósito"
Francisco Luciano Concheiro Borquez,"En función de ello, declaro el cuórum legal para la instalación de la octava sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior. Que se proyecte el acuerdo correspondiente, por favor. Vamos a ir votando acuerdo por acuerdo, después haremos nada más un repaso al final, pero de esta manera nos parece que es más fácil llevar los acuerdos y no dejarlos… este es necesario y entonces lo leo. Acuerdo S.O.CONACES.8°.1. Los integrantes del Consejo Nacional para la Coordinación de la Educación Superior (CONACES) aprueban la instalación de su Octava Sesión Ordinaria."
Francisco Luciano Concheiro Borquez,"Entonces queda aprobado por unanimidad que se registre el acuerdo, si son tan amables."
Francisco Luciano Concheiro Borquez,"El punto dos: lectura y, en su caso, aprobación del orden del día."
Francisco Luciano Concheiro Borquez,"La propuesta del orden del día para esta octava sesión ordinaria del Conaces les fue remitida con la convocatoria correspondiente. Sin embargo, y toda vez que el 18 de mayo pasado se instaló la comisión del espacio común de educación superior, el ECOES, se ha considerado necesario incorporar el tema en el orden del día, así como una pequeña modificación en los mensajes de bienvenida, ya que, por el tema de cambio de sede, ya no tendremos la intervención de la rectora de la Benemérita Universidad Autónoma de Puebla."
Francisco Luciano Concheiro Borquez,"¿Alguien más tiene algo que agregar o plantear en términos de asuntos generales? si no hay… les consulto si es de aprobarse la propuesta del orden del día de la presente reunión con esa modificación, y someto a su consideración el acuerdo correspondiente que está en la pantalla"
Francisco Luciano Concheiro Borquez,"Acuerdo S.O.CONACES.8°.2 El CONACES aprueba en todos y cada uno de sus puntos, el Orden del Día de su Octava Sesión Ordinaria. Los que estén por la negativa, favor de plantearlo"
Francisco Luciano Concheiro Borquez,Abstenciones… entonces quedaría aprobado por unanimidad.
Francisco Luciano Concheiro Borquez,"Bienvenida a cargo de la Secretaria de Educación Pública y coordinadora del Conaces, la maestra Leticia Ramírez Amaya, pero que… no puede estar con nosotros, está fuera de la ciudad, y entonces es la doctora Gisela Salinas, jefa de la oficina de la secretaría, quien dará un breve saludo a nombre de nuestra titular, la maestra Leticia Ramírez."
Francisco Luciano Concheiro Borquez,"Adelante, Gisela, querida. Muchas gracias por estar con nosotros. Qué amable"
Gisela Salinas,"Gracias, Luciano. Gracias también al doctor Luis González Placencia. Buenos días a todas y a todos, autoridades de educación superior de las entidades federativas, titulares de las instituciones y asociaciones de educación superior que integran el Consejo Nacional para la Coordinación de la Educación Superior."
Gisela Salinas,"A nombre de la maestra Leticia Ramírez Amaya, secretaria de educación pública, reciban un saludo fraterno, en espera de que los trabajos de esta octava sesión ordinaria permitan fortalecer los mecanismos de intercambio, de deliberación, de consulta y consenso para impulsar el desarrollo de la educación superior."
Gisela Salinas,"Como ustedes saben, como todos sabemos, nuestro país es un país muy diverso y complejo, con múltiples desigualdades, y tenemos que pensar en la educación para todas y todos como un derecho, no como un privilegio. México necesita que las instituciones de educación superior se comprometan con la equidad, con la inclusión, con la interculturalidad crítica y la excelencia educativa. La secretaría de educación pública me pide que, por favor, les comente que buscará apoyar las propuestas y los esfuerzos que se realizan en el Conaces para responder con eficacia a los retos que enfrenta el país. México los necesita trabajando a favor de la equidad, la inclusión y la excelencia en todas las regiones y en todos los sectores de la sociedad, desplegando a plenitud todas sus funciones como instituciones de educación superior; que sea una sesión con acuerdos y con construcción que nos permita fortalecer a la educación superior. Muchas gracias a todos. Gracias, Luciano."
Francisco Luciano Concheiro Borquez,"Muchas gracias, Gisela. Para continuar, y una vez recibido el comprometido saludo de la maestra Leticia Ramírez, como ustedes saben, conforme a las normas que rigen en este consejo, me corresponde coordinar los trabajos de esta la sesión en su ausencia."
Francisco Luciano Concheiro Borquez,permítanme expresar un breve mensaje introductorio a esta sesión.
Francisco Luciano Concheiro Borquez,"algunos temas propios del programa de trabajo de este consejo, relativos al sistema de evaluación y acreditación de la educación superior, el programa de ampliación de la oferta de educación superior y el espacio común de la educación superior."
Francisco Luciano Concheiro Borquez,"El propósito es resaltar la importancia de estos proyectos que están en proceso. En primer lugar, me refiero al sistema de evaluación y acreditación de la educación superior para destacar los avances en el programa de trabajo que nos mostrará más adelante."
Francisco Luciano Concheiro Borquez,"Es muy importante que enfoquemos nuestra atención en la presentación que se hará sobre la propuesta del comité técnico que acompañará al sistema de evaluación y acreditación de la educación superior para el análisis, revisión y formulación de los diferentes documentos que emitirá el sistema para el desarrollo de la actividad que ustedes ya conocen."
Francisco Luciano Concheiro Borquez,"entender que tenemos nuevas funciones, sobre todo desde la publicación de la ley general de humanidades, ciencia, tecnología e innovación, eh se traslada ya formalmente todo el tema de los posgrados hacia la subsecretaría de educación superior, la aprobación de los mismos, el registro, todo ello y esto cambia, hay que decirlo así, ya formalmente nuestra relación con respecto como instituciones de educación superior con respecto al propio Conacyt."
Francisco Luciano Concheiro Borquez,"Lo hemos dicho en otra ocasión, esto nos permite y hay que subrayarlo, romper con un doble mensaje, ¿no? O sea, resulta que estamos a cargo de la educación y aparece separada la investigación evaluación en práctica o la formación de los investigadores a futuro eh de nuestras propias funciones."
Francisco Luciano Concheiro Borquez,"En este sentido hemos saludado el poder incorporar ya desde nuestras funciones, por eso el comité técnico es tan importante, porque tenemos que irlo probando y ajustando según se a digamos se vaya desplegando nuestra práctica, porque sí tenemos que dar respuesta a una eh digamos un sector particularmente dinámico, que además pasa a tener funciones distintas al eh recuperar el sentido de la investigación en el postgrado y por tanto establecer una ruptura, una ruptura con los postgrados eh profesionalizantes."
Francisco Luciano Concheiro Borquez,"uso el término ruptura no de gratis, sino significa separar ambas cosas, ¿sí? Una cosa es la investigación ligada a la formación de investigadoras e investigadores y otra eh distinta la formación también a nivel de los posgrados que hay que apoyar, pero que son directamente profesionalizantes, ¿no?"
Francisco Luciano Concheiro Borquez,"Entonces, nos parece que esta distinción nos ayudará a reforzar, a cuestionarnos la forma en la cual hemos venido, no solamente aumentando, ¿sí?, la presencia eh de los posgrados en la proporción con respecto a a lo que es eh los otros niveles, ¿no?, de técnico superior eh universitario o de técnico superior en general y también en las licenciaturas, ingenierías, etcétera, sino eh ver cuál es el papel que juega en la construcción general de una dirección de las funciones sustantivas de nuestras instituciones."
Francisco Luciano Concheiro Borquez,"O sea, estamos hablando de ese calado, ¿sí?, por decirle así, en términos del giro que adquiere la evaluación y todo lo otro de evaluación que ya lo habíamos venido más o menos este conversando que habíamos ido profundizando del gran papel de una evaluación eh pensamos nosotros otros eh que también modifica nuestra lectura eh del fondo del papel de la evaluación hoy día, frente a una situación de una crisis anunciada eh y muy fuerte ya de los viejos sistemas de evaluación que había que recuperar y eso."
Francisco Luciano Concheiro Borquez,"Vuelvo a insistir porque sobre todo en en el uso de la voz desde esta digamos eh directiva de la reunión. No vamos en ningún sentido de cerrar ninguna opción de evaluación, sino de crear una instancia central, ¿sí? Y sí, ese es el término central que permita una coordinación general y la construcción una política de estado, ¿sí?  sobre la evaluación"
Francisco Luciano Concheiro Borquez,"Entonces, en ese sentido no restaremos ningún esfuerzo de nadie o acuerdos o eh eh digamos estructuras propias, imagínense que quisiéramos nosotros, sobre todo ante algunas instancias que existen sisten alrededor de la evaluación, intentar este modificarlas o anularlas, no hay ni para nada esa intención. Esta es una evaluación de otro tipo que acaba construyéndonos."
Francisco Luciano Concheiro Borquez,Perdón por explicar porque hoy vamos a dar un relativo cierre formal sobre todo el proceso.
Francisco Luciano Concheiro Borquez,"En segundo lugar, menciono la elaboración del programa de ampliación de la oferta de la educación superior, el cual atiende también un mandato de la Ley General de Educación Superior, cuyo tercero transitorio fracción tercera señala que la secretaría propondrá en el marco del Consejo Nacional para la coordinación de la educación superior de conformidad con la disponibilidad presupuestaria un programa de ampliación de la oferta de la educación superior a nivel nacional, regional y estatal con metas de corto, mediano y largo plazos a más tardar en el año de 2022."
Francisco Luciano Concheiro Borquez,"Bueno, todos sabemos lo que sucedió con la pandemia, etcétera, pero hoy lo que quiero decir es que hay una serie de elementos que nos permiten pensar que estamos en un buen momento."
Francisco Luciano Concheiro Borquez,"hoy haremos lo correspondiente para formalizar esto, es aún insuficiente en términos presupuestales, estamos luchando porque haya un presupuesto suficiente para este crecimiento. estamos, como lo hemos anunciado a ustedes en otras ocasiones, en un 43.9, ¿sí? con la 911 más la suma de las universidades para el bienestar Benito Juárez García, pero si bien estamos en 43.9, hemos estado discutiendo con ustedes otra forma de entender también si esta indicador que hoy nos queda corto en algún sentido, no lo abandonamos, nos habíamos comprometido a llegar a 48 puntos, nos faltan cuatro grandes puntos,"
Francisco Luciano Concheiro Borquez,"esos puntos son muy fuertes, hemos avanzado aún con la pandemia, somos el único nivel que ha seguido creciendo con la pandemia, pero insuficientemente."
Francisco Luciano Concheiro Borquez,"Esto no es excusa. Ahora veremos con ustedes, a lo largo de la sesión, un dato clave: estamos llegando casi a 89 jóvenes de cada 100 en la absorción. Es decir, a 89 jóvenes de cada 100 estamos logrando captarlos en educación superior"
Francisco Luciano Concheiro Borquez,"Ese es otro tipo de indicador que nos parece fundamental, está directamente ligado a la tasa de abandono también; es decir, para ser realistas y serios, la tasa de abandono la hemos logrado bajar a los niveles digamos históricos del ocho, está en 8.1 en este momento, pero en algunas entidades federativas representa el doble. ¿Sí? Y es un fenómeno que hay que analizar."
Francisco Luciano Concheiro Borquez,"Primera vez que crecemos este año en términos tan desiguales en el país. En general había un comportamiento regular y hoy tenemos un crecimiento sumamente desigual, los que hagan un poco de números saben lo que esto significa ¿no? en la modificación de las tendencias empezamos entonces a tener los efectos de políticas eh de estado diferenciadas por entidad federativa"
Francisco Luciano Concheiro Borquez,"para bien y para mal, ¿sí? aquí no encubrimos a nadie y además los gobiernos de los estados nos saludan en ese sentido una excelente relación con el conjunto, con el conjunto de los gobiernos de los estados, de las gobernadoras y gobernadores, pero no podemos más que informarles cuando sucede que tiene una tasa de abandono por arriba del doble, en muchos casos o muy cercana, sí, a la media nacional y esto nos distorsiona por completo la acción que podamos tener podríamos haber escogido seguir creciendo donde ya hemos crecido, pero eso crece la eh tasa digamos de desigualdad la hace mucho más violenta en nuestro país lo que decíamos, o sea, lo que es la geografía de las desigualdades eh se profundiza"
Francisco Luciano Concheiro Borquez,"atendiendo los acuerdos de este órgano colegiado del 11 de mayo del año en curso, se instaló la comisión que está trabajando en la elaboración de eh el programa digamos que resulta fundamental para los esfuerzos de las autoridades educativas y las instituciones de educación superior con el propósito de ampliar la cobertura educativa del tipo superior y aquí viene la clave con equidad, con inclusión y excelencia, o sea, en ese sentido creo que compartimos esta perspectiva y creo que nos parece fundamental"
Francisco Luciano Concheiro Borquez,en tercer lugar y en seguimiento de los acuerdos aprobados en el CONACES en el programa de trabajo 2023 durante esta sesión se informará de los avances de la construcción del espacio común de educación superior más allá de la movilidad a futuro en territorios comunes.
Francisco Luciano Concheiro Borquez,"Esto es la apropiación en términos de la conducción efectiva de la confluencia de nuestras instituciones, rompiendo lo que hasta ahora son camisas de fuerza donde la educación evita, en general, no estoy hablando en particular, por favor, el contagiarnos de lo bueno, ¿sí? que ese es nuestro espíritu de lo que estemos haciendo, el permitir que la eh digamos, todo lo que sería el subsistema de formación de formadores, ¿no?"
Francisco Luciano Concheiro Borquez,"pueda tener en la formación pedagógica del conjunto de nuestras en nuestras instituciones, ¿sí? O sea, ¿qué pasa eh si les hacemos eh tuvo un curso de de didáctica o no lo tuvo o si llevó alguna tiene nociones de pedagogía o no, pero no hemos pasado a digamos a asumir que quien llega a a la educación superior si a a ser docente, si no tiene la capacidad para transmitir podrá ser el mejor científico del mundo, pero tenemos un serio problema en términos de la construcción del proceso de enseñanza y es conjuntivo y la y conjuntiva aprendizaje. aquí aparece esto como un punto central."
Francisco Luciano Concheiro Borquez,"Asimismo dentro del informe de seguimiento se va a dar cuenta del avance de los proyectos aprobados por este consejo. Entre ellos les comento que el programa Nacional de Educación Superior 2023-24 que se elaboró durante el año 2022 fue presentado a la consideración del Conaces en la sexta sesión ordinaria y es importante mencionar que se han realizado las gestiones para su revisión y dictaminación por parte de la Secretaría de Hacienda y Crédito Público, lo cual constituye un trámite indispensable para su publicación en el Diario Oficial de la Federación."
Francisco Luciano Concheiro Borquez,"Además de estos elementos, quiero resaltar que en esta sesión del CONACES tendremos la oportunidad de contar con una intervención de la doctora María Elena Álvarez-Buylla Roces, quien amablemente y con motivo de la recién entrada en vigor de la Ley General en materia de humanidades, ciencias, tecnologías e innovación, nos comentará la estructura y contenido de dicha norma y los alcances para el desarrollo de las funciones sustantivas de las instituciones de educación superior."
Francisco Luciano Concheiro Borquez,"Dicho esto y de no haber inconveniente para continuar el desahogo de esta sesión, cedo la voz al secretario general de la ANUIES, Luis Armando González Placencia, como parte de este secretariado técnico conjunto."
 Luis Armando González,"Bueno, antes que nada, les reitero la bienvenida a todas y todos. Muy buenos días. Qué bueno verles en ANUIES, aunque qué malo que haya sido por las razones que ya fueron expuestas por el señor subsecretario."
 Luis Armando González,"bueno, pues siguiendo con el desahogo del orden del día, vamos ahora al punto número cuatro, que tiene que ver con la presentación y en su caso aprobación del acta de la sesión anterior."
 Luis Armando González,"Como saben, en cumplimiento con los lineamientos que rigen este consejo, se les envió el acta junto con la convocatoria, eh por lo cual, pues les proponemos omitir su lectura, suponemos que ya la leyeron y eh en función de lo anterior les consulto, en todo caso si es posible someter a aprobación el acuerdo que está ahora en la pantalla, eh que sería el acuerdo S.O.CONACES.8.3 y que dice el CONACES aprueba el acta de su séptima sesión ordinaria."
 Luis Armando González,"Quienes estén por la negativa, eh si quieren manifestarlo ahora. aquí en la sala no tenemos, no sé si en el Zoom. Por lo tanto Aprobamos por unanimidad el acuerdo y le solicitamos a la secretaría que registre eh el mismo para continuar"
 Luis Armando González,El siguiente punto en el orden del día es el número cinco y se refiere a la presentación y en su caso aprobación del seguimiento de acuerdos de las sesiones del CONACES.
 Luis Armando González,Como saben es nuestra función eh dar cuenta eh frente a ustedes de todos del estado que guardan los acuerdos aprobados por nuestro consejo. Para ello se les solicitó a ustedes que tuvieran a bien rendir el informe respecto y con estos informes se integró el informe eh de seguimiento que ahora sometemos a su consideración.
 Luis Armando González,"También fue remitido a ustedes junto con la convocatoria eh asumimos entonces que lo han leído y eh si si no tienen ninguna observación al respecto, les proponemos entonces someter a aprobación el siguiente acuerdo."
 Luis Armando González,que es el acuerdo S.O.CONACES.8°.4 que dice lo siguiente: El CONACES aprueba el informe de seguimiento de acuerdos presentado por el Secretariado Técnico Conjunto.
 Luis Armando González,"Quienes estén por la negativa, por favor, levanten la mano. Perfecto. Aprobamos por unanimidad entonces el acuerdo y solicitamos también su registro."
 Luis Armando González,"Vamos ahora al punto número seis que se refiere a la propuesta y en su caso aprobación de la sustitución de un integrante de la región noroeste. en la sesión anterior se dio la bienvenida a los nuevos integrantes del CONACES. Sin embargo, con posterioridad a ello la persona titular de la Universidad Pedagógica Nacional plantel Nogales, correspondiente a la región noroeste, eh informó a este secretariado técnico conjunto que no le era posible participar con nosotros."
